STORE NAME,SEX,QUALITY
NastyGal,female,edgy
NastyGal,female,chic
NastyGal,female,sexy
Anthropologie,female,bohemian
Anthropologie,female,delicate
Anthropologie,female,flirty
Dollskill,female,futuristic
Dollskill,female,grunge
Dollskill,female,sexy
For Love & Lemons,female,flirty
For Love & Lemons,female,sexy
For Love & Lemons,female,delicate
Stone Cold Fox,female,flirty
Stone Cold Fox,female,delicate
Stone Cold Fox,female,bohemian
Sugarhigh + Lovestoned,female,flirty
Sugarhigh + Lovestoned,female,bohemian
Sugarhigh + Lovestoned,female,vintage
Stoned Immaculate Vintage,female,vintage
Stoned Immaculate Vintage,female,bohemian
Stoned Immaculate Vintage,female,sexy
Topshop,female,minimalist
Topshop,female,flirty
Topshop,female,edgy
ASOS,female,flirty
ASOS,female,casual
ASOS,female,chic
ASOS,male,casual
ASOS,male,sporty
ASOS,male,urban
American Apparel,female,minimalist
American Apparel,female,sexy
American Apparel,female,sporty
American Apparel,male,urban 
American Apparel,male,sporty
American Apparel,male,vintage
Unif,female,grunge
Unif,female,futuristic
Unif,female,edgy
Unif,male,urban
Unif,male,grunge
Unif,male,hipster
Urban Outfitters,female,hipster
Urban Outfitters,female,bohemian
Urban Outfitters,female,vintage
Urban Outfitters,male,hipster
Urban Outfitters,male,vintage
Urban Outfitters,male,urban
RVCA,female,sporty
RVCA,female,casual
RVCA,female,flirty
RVCA,male,sporty
RVCA,male,casual
SSENSE,female,chic
SSENSE,female,grunge
SSENSE,female,minimalist
SSENSE,male,casual
SSENSE,male,dapper
SSENSE,male,hipster
Barney's,female,professional
Barney's,female,minimalist
Barney's,female,chic
Barney's,male,professional
Barney's,male,dapper
Barney's,male,metro
Kitson,female,casual
Kitson,female,sporty
Kitson,female,hipster
Kitson,male,sporty
Kitson,male,casual
Kitson,male,urban
Nordstrom,female,professional
Nordstrom,female,chic
Nordstrom,female,delicate
Nordstrom,male,professional
Nordstrom,male,dapper
Nordstrom,male,metro
MR PORTER,male,metro
MR PORTER,male,dapper
MR PORTER,male,casual
End.,male,urban 
End.,male,casual
End.,male,sporty
Maas & Stacks,male,casual
Maas & Stacks,male,grunge
Maas & Stacks,male,sporty
HAVEN,male,sporty
HAVEN,male,casual
HAVEN,male,hipster
BureauBelfast,male,dapper
BureauBelfast,male,casual
BureauBelfast,male,sporty
Union LosAngelos,male,hipster
Union LosAngelos,male,grunge
Union LosAngelos,male,sporty
NorseStore,male,casual
NorseStore,male,sporty
NorseStore,male,professional
Huf ,male,hipster
Huf ,male,grunge
Huf ,male,urban
