STORE NAME,STORE WEBSITE,STORE IMAGE URL,MIN RANGE,MAX RANGE,DESCRIPTION
NastyGal,www.nastygal.com,/public/image/300.jpg,18,45,Store description goes here.
Anthropologie,www.anthropologie.com,/public/image/300.jpg,18,45,Store description goes here.
Dollskill,www.dollskill.com/,/public/image/300.jpg,18,35,Store description goes here.
For Love & Lemons,www.forloveandlemons.com/,/public/image/300.jpg,18,45,Store description goes here.
Stone Cold Fox,www.thestonecoldfox.com/,/public/image/300.jpg,18,45,Store description goes here.
Sugarhigh + Lovestoned,www.sugarhighlovestoned.com/,/public/image/300.jpg,18,35,Store description goes here.
Stoned Immaculate Vintage,www.stonedimmaculatevintage.com/,/public/image/300.jpg,18,35,Store description goes here.
Topshop,www.us.topshop.com/,/public/image/300.jpg,18,45,Store description goes here.
ASOS,www.us.asos.com/,/public/image/300.jpg,18,45,Store description goes here.
American Apparel,www.americanapparel.net/,/public/image/300.jpg,18,40,Store description goes here.
Unif,www.unifclothing.com,/public/image/300.jpg,18,30,Store description goes here.
Urban Outfitters,www.urbanoutfitters.com,/public/image/300.jpg,18,45,Store description goes here.
RVCA,www.rvca.com,/public/image/300.jpg,18,30,Store description goes here.
SSENSE,www.ssense.com,/public/image/300.jpg,18,30,Store description goes here.
Barney's,www.barneys.com,/public/image/300.jpg,18,45,Store description goes here.
Kitson,http://www.shopkitson.com/,/public/image/300.jpg,18,27,Store description goes here.
Nordstrom,www.shop.nordstrom.com/,/public/image/300.jpg,18,45,Store description goes here.
MR PORTER,www.mrporter.com,/public/image/300.jpg,25,45,Store description goes here.
End.,www.endclothing.com,/public/image/300.jpg,18,45,Store description goes here.
Mass & Stacks,www.maasandstacks.com,/public/image/300.jpg,18,35,Store description goes here.
HAVEN,www.havenshop.ca/,/public/image/300.jpg,18,45,Store description goes here.
BureauBelfast,www.thebureaubelfast.com,/public/image/300.jpg,18,45,Store description goes here.
Union LosAngelos,www.store.unionlosangeles.com/,/public/image/300.jpg,25,45,Store description goes here.
NorseStore,www.norsestore.com/,/public/image/300.jpg,20,45,Store description goes here.
Huf ,www.hufworldwide.com/,/public/image/300.jpg,18,30,Store description goes here.
